Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location,Location Assessment
4062,SB 59 St btwn 149 Ave - 62 St,30,Designated Zone - Playground;,53.60800247,-113.43338388,"(53.60800246814048, -113.43338387944146)",https://drive.google.com/file/d/1KI6nxyjJ23lw7kJDk-2rbze0_lbIbGcR/view?usp=drivesdk
2587,EB 51 Ave between 116 - 114 St,50,Higher Frequency of Speeding;,53.48821440,-113.52787779,"(53.48821439589621, -113.52787778864788)",https://drive.google.com/file/d/1kQXkEtJlHMzaNAr8eHX_yzmpetuHr-73/view?usp=drivesdk
4227,WB Kirkness Rd Btwn 151 Ave - 31 St,30,Designated Zone - Playground;,53.61136661,-113.38477337,"(53.6113666107883, -113.3847733718016)",https://drive.google.com/file/d/1EUCBLz0NmjUver3sMVzuNhb3c30iDNEf/view?usp=drivesdk
4251,WB 164 Ave Btwn 84-87 St,30,Designated Zone - Playground;,53.62616164,-113.47498687,"(53.62616164122239, -113.47498686771488)",https://drive.google.com/file/d/1YX5i1RN9aQxg20vgFi9NWzfQn3krEMkq/view?usp=drivesdk
2648,SB 50 St between Jamha Rd - 44 Ave,60,Higher Frequency of Collisions;,53.48339439,-113.41832640,"(53.48339438971291, -113.41832639606906)",https://drive.google.com/file/d/1ZNSeWuYDDqei8qSN0xZCwEUCdfw3OjIO/view?usp=drivesdk
211,EB Anthony Henday Dr. east of 34 St.,100,Higher Frequency of Collisions;,53.43552888,-113.38311525,"(53.43552887900946, -113.38311525369839)",https://drive.google.com/file/d/1XQwgUuDfsTT1vmkfjx9l1i28jNlb7krL/view?usp=drivesdk
4184,NB 105 St Btwn 19-20 Ave,30,Designated Zone - Playground;,53.44904603,-113.50054363,"(53.449046032488305, -113.50054363180314)",https://drive.google.com/file/d/1cJlHI1Nh6A5MRCCIri38p7SQMv1athOv/view?usp=drivesdk
7196,WB Anthony Henday Dr between 18 - 66 St,100,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.63757881,-113.40232135,"(53.63757881174418, -113.40232134712826)",https://drive.google.com/file/d/1lBozfLEVDCo9G1WAlstbtFGXZ_dfJ-t2/view?usp=drivesdk
4152,WB 144 Ave E of  87 - 88A St,30,Designated Zone - Playground;,53.60623172,-113.47489940,"(53.60623171754474, -113.47489940104879)",https://drive.google.com/file/d/18z1sU4Z2BNWrxLtMZmOq2r4F4hH8sHxh/view?usp=drivesdk
4292,EB 121 Ave btwn 48 St - W of 45 St,30,Designated Zone - Playground;,53.57507733,-113.41338460,"(53.57507732518708, -113.41338460051745)",https://drive.google.com/file/d/1uU8czVx5THK1rWsRIzkJ6OCHW236CdAd/view?usp=drivesdk
4198,NB 172 St N of Callingwood Rd - 64 Ave,30,Designated Zone - Playground;,53.49946590,-113.62096005,"(53.4994659041151, -113.62096005447977)",https://drive.google.com/file/d/1dyo3XQ77fDFTGDX1eJWc25-lml6Fcx5m/view?usp=drivesdk
7219,SB 104 St Btwn University Ave - 73 Ave,50,Higher Frequency of Speeding;,53.51047043,-113.49767867,"(53.51047043068032, -113.49767866587726)",https://drive.google.com/file/d/15maFz6lNfLpQx3RimBoGSXhs0-aohA4S/view?usp=drivesdk
7075,WB Yellowhead Tr at 7710 Yellowhead Tr,70,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.58249771,-113.45960451,"(53.5824977100955, -113.459604513609)",https://drive.google.com/file/d/1M4_PXrJbIyBxtevTj6nA7IWae2UOnu-G/view?usp=drivesdk
4075,WB 104 Ave btwn 159 - 161 St,30,Designated Zone - Playground;,53.54641245,-113.59745088,"(53.546412452900164, -113.59745087875642)",https://drive.google.com/file/d/1A11A82wQIxlUoIoTPlwhtA2nyRsV7Z9c/view?usp=drivesdk
7262,WB 82 Ave between 91 - 95A St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.51807393,-113.47154945,"(53.51807393497395, -113.47154944892714)",https://drive.google.com/file/d/1jxwv21mGRcPZH6n_wTrCp2zjMTa26puh/view?usp=drivesdk
4126,WB 161A Ave btwn 74 - 76 St,30,Designated Zone - Playground;,53.62248038,-113.45826123,"(53.622480378849865, -113.45826123429586)",https://drive.google.com/file/d/1zd9geWSnd57p3Zaj60AI2SsocB0bGpJe/view?usp=drivesdk
2620,SB 50 St between Fulton Rd - 101A Ave,50,Higher Frequency of Speeding;,53.54501797,-113.41870308,"(53.545017973296275, -113.41870307647334)",https://drive.google.com/file/d/1hjylyl3fSqi-KtnwL9S2zujMMKpIna4h/view?usp=drivesdk
4110,SB 65 St btwn 106 - 104 Ave,30,Designated Zone - Playground;,53.54796305,-113.43124335,"(53.54796305009052, -113.43124335033538)",https://drive.google.com/file/d/1YsjHALWpWuD49pwLN26elqLEOg6g4B75/view?usp=drivesdk
4172,NB 90 St Btwn 132 - 135 Ave,30,Designated Zone - Playground;,53.59403769,-113.47973421,"(53.5940376905841, -113.47973421375089)",https://drive.google.com/file/d/1nhFU3vAw1vMyY8kEesWKfpKbkeD5cZx7/view?usp=drivesdk
4247,WB 51 Ave Btwn 123 - 124 St,30,Designated Zone - Playground;,53.48814710,-113.54492540,"(53.48814709899406, -113.54492539721905)",https://drive.google.com/file/d/1FIGDDlwYsm3ArnlaGef94sjJZ-mAjDvN/view?usp=drivesdk
4196,WB Griesbach Rd between Griesbach School Rd - 104 St,30,Designated Zone - Playground;,53.60810333,-113.49790803,"(53.60810333340902, -113.49790802742933)",https://drive.google.com/file/d/1twIgnm7ciYKB3EMBfjYfF8UWX1qxzWJ3/view?usp=drivesdk
4090,SB 130 St N of 113 - 111 Ave,30,Designated Zone - Playground;,53.56060102,-113.54620872,"(53.56060101939783, -113.54620871667127)",https://drive.google.com/file/d/1-Ylo38O0ivOcgGuyVNR1s-aUZr5jxLTB/view?usp=drivesdk
2610,NB 75 St between 92A - 94B Ave,60,Higher Frequency of Collisions;,53.53004509,-113.44289010,"(53.53004508582731, -113.44289009845669)",https://drive.google.com/file/d/17VOxCeiPUoJPGYwJAHMgzOWgszQ1WsLp/view?usp=drivesdk
4099,NB 102 St btwn 114 - 116 Ave,30,Designated Zone - Playground;,53.56576816,-113.49555595,"(53.565768162757976, -113.49555595296913)",https://drive.google.com/file/d/1iwCdaDRBXZj3SBlmsJDwaTSMXawaQ_NA/view?usp=drivesdk
4076,EB 104 Ave btwn 161 - 159 St,30,Designated Zone - Playground;,53.54641245,-113.59745088,"(53.546412452900164, -113.59745087875642)",https://drive.google.com/file/d/1SOKHTUVHwwMhn1n0jVGRSq7j4aekx2VA/view?usp=drivesdk
4236,NB 54 St Btwn 121 - 122 Ave,30,Designated Zone - Playground;,53.57589554,-113.42457324,"(53.57589553734938, -113.42457323764211)",https://drive.google.com/file/d/1tjLScGc2TP-3Gy5T78ZKdSsUhh1u-Lb7/view?usp=drivesdk
2738,SB 66 St between Delwood Rd - 132 Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.59387267,-113.44306107,"(53.59387266949015, -113.44306106530301)",https://drive.google.com/file/d/1IWBNsNwQo3A5SXxAC22hbZ8hPt5TUvGA/view?usp=drivesdk
